uid	tcga_cs_4942_01a_bed	tcga_cs_4944_01a_bed	tcga_dh_a66b_01a_bed	tcga_du_6400_01a_bed	tcga_du_6410_01a_bed	tcga_du_7012_01a_bed	tcga_du_8158_01a_bed	tcga_du_a5tu_01a_bed	tcga_e1_5307_01a_bed	tcga_ez_7264_01a_bed	tcga_fg_8188_01a_bed	tcga_fg_a60k_01a_bed	tcga_fn_7833_01a_bed	tcga_ht_7689_01a_bed	tcga_ht_7856_01a_bed	tcga_ht_7884_01b_bed	tcga_ht_8105_01a_bed	tcga_ht_8107_01a_bed	tcga_ht_8109_01a_bed	tcga_ht_8564_01a_bed	tcga_ht_a5rc_01a_bed	tcga_ht_a618_01a_bed
CCSER2:ENSG00000107771:E14.1-E15.1|ENSG00000107771:E14.1-E17.1	0.65	0.4	0.67	0.75	0.73	0.37	0.55	0.69	0.82	0.78	0.83	0.77	0.53	0.76	0.67	0.73	0.59	0.67	0.68	0.7	0.94	0.67
CCSER2:ENSG00000107771:E14.1-E17.1|ENSG00000107771:E15.1-E17.1	0.14	0.32	0.18	0.11	0.12	0.37	0.25	0.14	0.08	0.08	0.07	0.1	0.27	0.09	0.14	0.12	0.23	0.08	0.14	0.11	0.03	0.2
RECQL5:ENSG00000108469:E8.1-E8.4|ENSG00000108469:E8.1-E12.1	0.08	0.18	0.09	0.03	0.06	0.24	0.12	0.09	0.02	0.04	0.14	0.09	0.04	0.14	0.02	0.07	0.02	0.03	0.19	0.03	0.22	0.04
RAI1:ENSG00000108557:E7.1-E9.1|ENSG00000108557:E8.1-E9.1	0.79	0.78	0	0.85	0.81	0.62	0.7	0	0.79	0.9	0.75	0.87	0.83	0.83	0.73	0.9	0.9	0.63	0.7	0.81	0.75	0
UBE2D3:ENSG00000109332:E2.19-E3.5|ENSG00000109332:E2.12-E3.5	0.56	0.59	0.58	0.59	0.65	0.47	0.43	0.66	0.65	0.49	0.62	0.56	0.64	0.59	0.6	0.55	0.57	0.6	0.53	0.54	0.56	0.59
NDUFC1:ENSG00000109390:E1.3-E6.1|ENSG00000109390:E3.4-E6.1	0.09	0.17	0.14	0.1	0.02	0.26	0.3	0.07	0.04	0.07	0.12	0.09	0.19	0.05	0.08	0.12	0.03	0.03	0.06	0.15	0.13	0.15
NDUFC1:ENSG00000109390:E3.4-E6.1|ENSG00000109390:E1.3-E6.1	0.45	0.38	0.46	0.62	0.86	0.43	0.31	0.46	0.68	0.67	0.48	0.76	0.53	0.58	0.6	0.55	0.59	0.74	0.69	0.56	0.36	0.44
GAB1:ENSG00000109458:E15.1-E16.1|ENSG00000109458:E14.2-E16.1	0.34	0.41	0.35	0.37	0.3	0.58	0.54	0.33	0.33	0.37	0.32	0.38	0.27	0.39	0.35	0.37	0.3	0.43	0.41	0.48	0.45	0.35
GAB1:ENSG00000109458:E14.2-E16.1|ENSG00000109458:E15.1-E16.1	0.48	0.45	0.5	0.45	0.52	0.24	0.29	0.47	0.52	0.48	0.47	0.47	0.53	0.41	0.46	0.4	0.45	0.4	0.46	0.34	0.35	0.42
GAB1:ENSG00000109458:E14.2-E15.1|ENSG00000109458:E14.2-E16.1	0.3	0.16	0.24	0.33	0.19	0.54	0.41	0.34	0.2	0.23	0.3	0.28	0.22	0.35	0.32	0.32	0.3	0.34	0.25	0.32	0.37	0.33
LRP2BP:ENSG00000109771:U0.1_185396853-E4.1|ENSG00000109771:I1.2-E4.1	0.04	0.0	0.0	0.0	0.07	0.23	0.32	0.0	0.09	0.0	0.07	0.0	0.01	0.06	0.08	0.01	0.0	0.0	0.03	0.0	0.24	0.04
LRP2BP:ENSG00000109771:U0.1_185396853-E3.1|ENSG00000109771:E2.4-E3.1	0.11	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.05	0.0	0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.33	0.22	0.0
C2CD5:ENSG00000111731:E27.1-E28.2|ENSG00000111731:E26.1-E29.1	0.58	0.31	0.56	0.57	0.59	0.29	0.29	0.62	0.6	0.63	0.51	0.54	0.47	0.5	0.61	0.63	0.64	0.61	0.62	0.58	0.3	0.54
C2CD5:ENSG00000111731:E28.3-E29.1|ENSG00000111731:E26.1-E29.1	0.6	0.23	0.63	0.67	0.64	0.31	0.43	0.73	0.72	0.77	0.79	0.72	0.59	0.61	0.73	0.79	0.8	0.82	0.66	0.72	0.5	0.56
