PSI	Metadata
TCGA-D3-A51H-06A-12R-A266-07.bed	TCGA-D3-A51H
TCGA-GN-A9SD-06A-11R-A40A-07.bed	TCGA-GN-A9SD
TCGA-QB-A6FS-06A-11R-A311-07.bed	TCGA-QB-A6FS
TCGA-D3-A5GO-06A-12R-A27Q-07.bed	TCGA-D3-A5GO
TCGA-ER-A193-06A-12R-A18S-07.bed	TCGA-ER-A193
TCGA-EB-A5SF-01A-11R-A311-07.bed	TCGA-EB-A5SF
TCGA-GN-A8LK-06A-11R-A37K-07.bed	TCGA-GN-A8LK
TCGA-FS-A1ZH-06A-11R-A18T-07.bed	TCGA-FS-A1ZH
TCGA-EE-A2A1-06A-11R-A18T-07.bed	TCGA-EE-A2A1
TCGA-RP-A695-06A-11R-A311-07.bed	TCGA-RP-A695
TCGA-XV-AAZV-01A-11R-A40A-07.bed	TCGA-XV-AAZV
TCGA-EE-A2M8-06A-12R-A18S-07.bed	TCGA-EE-A2M8
TCGA-D9-A1JW-06A-11R-A18S-07.bed	TCGA-D9-A1JW
TCGA-GN-A4U9-06A-11R-A32P-07.bed	TCGA-GN-A4U9
TCGA-XV-AAZW-01A-12R-A40A-07.bed	TCGA-XV-AAZW
TCGA-FS-A1ZY-06A-11R-A18S-07.bed	TCGA-FS-A1ZY
TCGA-ER-A2NC-06A-11R-A18T-07.bed	TCGA-ER-A2NC
TCGA-ER-A19A-06A-21R-A18U-07.bed	TCGA-ER-A19A
TCGA-EB-A5SH-06A-11R-A311-07.bed	TCGA-EB-A5SH
TCGA-D3-A1Q6-06A-11R-A18T-07.bed	TCGA-D3-A1Q6
TCGA-BF-A5EQ-01A-21R-A27Q-07.bed	TCGA-BF-A5EQ
TCGA-ER-A19Q-06A-11R-A18U-07.bed	TCGA-ER-A19Q
TCGA-EE-A2GN-06A-11R-A18S-07.bed	TCGA-EE-A2GN
TCGA-GF-A3OT-06A-23R-A239-07.bed	TCGA-GF-A3OT
TCGA-EE-A3J8-06A-11R-A20F-07.bed	TCGA-EE-A3J8
TCGA-D3-A2JC-06A-11R-A18T-07.bed	TCGA-D3-A2JC
TCGA-FS-A1ZQ-06A-11R-A18U-07.bed	TCGA-FS-A1ZQ
TCGA-EB-A51B-01A-11R-A27Q-07.bed	TCGA-EB-A51B
TCGA-EB-A6L9-06A-11R-A32P-07.bed	TCGA-EB-A6L9
TCGA-EE-A2A0-06A-11R-A18T-07.bed	TCGA-EE-A2A0
TCGA-YD-A9TA-06A-11R-A39D-07.bed	TCGA-YD-A9TA
TCGA-D3-A2J7-06A-11R-A18T-07.bed	TCGA-D3-A2J7
TCGA-WE-A8JZ-06A-11R-A37K-07.bed	TCGA-WE-A8JZ
