UID	U2AF1-Stringent(R1-C2)	SRSF2-Stringent(R1-C1)	SRSF2-Expanded(R1-C1-extended)	U2AF1-Expanded(R1-C2-extended)	U2AF1-S34(R2-C26)	SF3B1(R2-C11)	SRSF2(R2-C7)	ZRSR2(R3-C1)	CBFB(R2-C4)	MLL(R2-C19)	PML(R2-C12)	RUNX1(R2-C8)	MLL_extended(R2-C19 extended)	TP53(R2-C3)	NPM1-FLT3-IDH2-TET2(R2-C15)-NS1	KAT6B_correlated(R2-C18)-NS2	NS3(R2-C10)	NS4(R2-C2)	NS5(R2-C1)	NS6(R2-C5)	NS7(R2-C17)	NS8(R2-C28)	NS9(R2-C6)	NS10(R2-C27)
SRS718896_1.bed	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SRS718897_1.bed	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SRS718898_1.bed	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SRS718899_1.bed	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SRS718900_1.bed	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SRS718901_1.bed	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
SRS718903_1.bed	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SRS718905_1.bed	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SRS718908_1.bed	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
SRS718910_1.bed	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS718911_1.bed	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS718912_1.bed	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS718913_1.bed	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS718915_1.bed	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS718916_1.bed	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS718917_1.bed	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS718918_1.bed	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS718919_1.bed	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS718921_1.bed	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS718922_1.bed	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS718923_1.bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS718924_1.bed	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
